"CO_CID","DS_CID"
"B670","Infestação hepática por Echinococcus Granulosus"
"B671","Infestação pulmonar por Echinococcus Granulosus"
"B672","Infestação óssea por Echinococcus Granulosus"
"B673","Infestações por Echinmococcus Granulosus, outras e de localizações múltiplas"
"B674","Infestação não especificada por Echinococcus Granulosus"
"B675","Infestação hepática por Echinococcus Multilocularis"
"B676","Infecções por Echinococcus Multilocularis, outras e de localizações múltiplas"
"B677","Infestação não especificada por Echinococcus Multilocularis"
"B678","Infestação hepática não especificada, por Echinococcus"
"B679","Infestações por Echinococcus, outras e as não especificadas"
"B680","Infestação por Taenia Solium"
"B681","Infestação por Taenia Saginata"
"B689","Infestação não especificada por taenia"
"B690","Cisticercose do sistema nervoso central"
"B691","Cisticercose do olho"
"B698","Cisticercose de outras localizações"
"B699","Cisticercose não especificada"
"B700","Difilobotríase"
"B701","Esparganose"
"B710","Infestação por Hymenolepis"
"B711","Infestação por Dipylidium"
"B718","Outras infestações especificadas por cestóides"
"B719","Infestação não especificada por cestóides"
"B72","Dracontíase"
"B73","Oncocercose"
"B740","Filariose por Wuchereria Bancrofti"
"B741","Filariose por Brugia Malayi"
"B742","Filariose por Brugia Timori"
"B743","Loaíase"
"B744","Mansonelose"
"B748","Outras filarioses"
"B749","Filariose não especificada"
"B75","Triquinose"
"B760","Ancilostomose"
"B761","Necatoríase"
"B768","Outras ancilostomíases"
"B769","Ancilostomíase não especificada"
"B770","Ascaridíase com complicações intestinais"
"B778","Ascaridíase com outras complicações"
"B779","Ascaridíase não especificada"
"B780","Estrongiloidíase intestinal"
"B781","Estrongiloidíase cutânea"
"B787","Estrongiloidíase disseminada"
"B789","Estrongiloidíase não especificada"
"B79","Tricuríase"
"B80","Oxiuríase"
"B810","Anisaquíase"
"B811","Capilaríase intestinal"
"B812","Tricostrongilose"
"B813","Angiostrongilíase intestinal"
"B814","Helmintíases intestinais mistas"
"B818","Outras helmintíases intestinais especificadas"
"B820","Helmintíase intestinal não especificada"
"B829","Parasitose intestinal não especificada"
"B830","Larva Migrans visceral"
"B831","Gnatostomíase"
"B832","Angrostrongilíase devida a Parastrongylus cantonensis"
"B833","Singamose"
"B834","Hirudiníase Interna"
"B838","Outras Helmintíases especificadas"
"B839","Helmintíase não especificada"
"B850","Pediculose devida a Pediculus Humanus Capitis"
"B851","Pediculose devida a Pediculus Humanus Corporis"
"B852","Pediculose não especificada"
"B853","Ftiríase"
"B854","Pediculose e Ftiríase mista"
"B86","Escabiose [sarna]"
"B870","Miíase cutânea"
"B871","Miíase das feridas"
"B872","Miíase ocular"
"B873","Miíase nasofaríngea"
"B874","Miíase auricular"
"B878","Miíase de outras localizações"
"B879","Miíase não especificada"
"B880","Outras acaríases"
"B881","Tungíase [infestação pela pulga da areia]"
"B882","Outras infestações por artrópodos"
"B883","Hirudiníase externa"
"B888","Outras infestações especificadas"
"B889","Infestação não especificada"
"B89","Doença parasitária não especificada"
"B900","Seqüelas de tuberculose do sistema nervoso central"
"B901","Seqüelas de tuberculose geniturinária"
"B902","Seqüelas de tuberculose óssea e das articulações"
"B908","Seqüelas de tuberculose de outros órgãos"
"B909","Seqüelas de tuberculose das vias respiratórias e de órgãos não especificados"
"B91","Seqüelas de poliomielite"
"B92","Seqüelas de hanseníase [lepra]"
"B940","Seqüelas de tracoma"
"B941","Seqüelas de encefalite viral"
"B942","Seqüelas de hepatite viral"
"B948","Seqüelas de outras doenças infecciosas e parasitárias especificadas"
"B949","Seqüelas de doença infecciosa ou parasitária não especificada"
"B950","Estreptococo do grupo A, como causa de doenças classificadas em outros capítulos"
"B951","Estreptococo do grupo B, como causa de doenças classificadas em outros capítulos"
"B952","Estreptococo do grupo D, como causa de doenças classificadas em outros capítulos"
"B953","Streptococcus Pneumoniae, como causa de doenças classificadas em outros capítulos"
"B954","Outros estreptococos, como causa de doenças classificadas em outros capítulos"
"B955","Estreptococo não especificado, como causa de doenças classificadas em outros capítulos"
"B956","Staphylococcus Aureus, como causa de doenças classificadas em outros capítulos"
"B957","Outros estafilococos como causa de doenças classificadas em outros capítulos"
"B958","Estafilococo não especificado, como causa de doenças classificadas em outros capítulos"
"B960","Mycoplasma Pneumoniae [m. pneumoniae], como causa de doenças classificadas em outros capítulos"
"B961","Klebsiella Pneumoniae [m. pneumoniae], como causa de doenças classificadas em outros capítulos"
"B962","Escherichia Coli [e. coli], como causa de doenças classificadas em outros capítulos"
"B963","Haemophilus Influenzae [h. influenzae], como causa de doenças classificadas em outros capítulos"
"B964","Proteus (Mirabilis) (Morganii), como causa de doenças classificadas em outros capítulos"
"B965","Pseudomonas (Aeruginosa, Mallei, Pseudomallei), como causa de doenças classif. em outros capítulos"
"B966","Bacillus Fragilis [B. Fragilis], como causa de doenças classificadas em outros capítulos"
"B967","Clostridium Perfringens [C. Perfringens], como causa de doenças classificadas em outros capítulos"
"B968","Outros agentes bacterianos especificados, como causa de doenças classificadas em outros capítulos"
"B970","Adenovírus, como causa de doenças classificadas em outros capítulos"
"B971","Enterovírus, como causa de doenças classificadas em outros capítulos"
"B972","Coronavírus, como causa de doenças classificadas em outros capítulos"
"B973","Retrovírus, como causa de doenças classificadas em outros capítulos"
"B974","Vírus sincicial respiratório, como causa de doenças classificadas em outros capítulos"
"B975","Reovírus, como causa de doenças classificadas em outros capítulos"
"B976","Parvovírus, como causa de doenças classificadas em outros capítulos"
"B977","Papilomavírus, como causa de doenças classificadas em outros capítulos"
"B978","Outros agentes virais, como causa de doenças classificadas em outros capítulos"
"B99","Doenças infecciosas, outras e as não especificadas"
"C000","Neoplasia maligna do lábio superior externo"
"C001","Neoplasia maligna do lábio inferior externo"
"C002","Neoplasia maligna do lábio externo, não especificado"
"C003","Neoplasia maligna do lábio superior, face interna"
"C004","Neoplasia maligna do lábio inferior, face interna"
"C005","Neoplasia maligna do lábio, sem especificação, face interna"
"C006","Neoplasia maligna da comissura labial"
"C008","Neoplasia maligna do lábio com lesão invasiva"
"C009","Neoplasia maligna do lábio, não especificado"
"C01","Neoplasia maligna da base da língua"
"C020","Neoplasia maligna da face dorsal da língua"
"C021","Neoplasia maligna da borda da língua"
"C022","Neoplasia maligna da face ventral da língua"
"C023","Neoplasia maligna de dois terços anteriores da língua, parte não especificada"
"C024","Neoplasia maligna da amígdala lingual"
"C028","Neoplasia maligna da língua com lesão invasiva"
"C029","Neoplasia maligna da língua, não especificada"
"C030","Neoplasia maligna da gengiva superior"
"C031","Neoplasia maligna da gengiva inferior"
"C039","Neoplasia maligna da gengiva, não especificada"
"C040","Neoplasia maligna do assoalho anterior da boca"
"C041","Neoplasia maligna do assoalho lateral da boca"
"C048","Neoplasia maligna do assoalho da boca com lesão invasiva"
"C049","Neoplasia maligna do assoalho da boca, não especificado"
"C050","Neoplasia maligna do palato duro"
"C051","Neoplasia maligna do palato mole"
"C052","Neoplasia maligna da úvula"
"C058","Neoplasia maligna do palato com lesão invasiva"
"C059","Neoplasia maligna do palato, não especificado"
"C060","Neoplasia maligna da mucosa oral"
"C061","Neoplasia maligna do vestíbulo da boca"
"C062","Neoplasia maligna da área retromolar"
"C068","Neoplasia maligna de outras partes e de partes não especificadas da boca com lesão invasiva"
"C069","Neoplasia maligna da boca, não especificada"
"C07","Neoplasia maligna da glândula parótida"
"C080","Neoplasia maligna da glândula submandibular"
"C081","Neoplasia maligna da glândula sublingual"
"C088","Neoplasia maligna das glândulas salivares maiores com lesão invasiva"
"C089","Neoplasia maligna da glândula salivar maior, não especificada"
"C090","Neoplasia maligna da fossa amigdaliana"
"C091","Neoplasia maligna do pilar amigdaliano (anterior) (posterior)"
"C098","Neoplasia maligna da amígdala com lesão invasiva"
"C099","Neoplasia maligna da amígdala, não especificada"
"C100","Neoplasia maligna da valécula"
"C101","Neoplasia maligna da face anterior da epiglote"
"C102","Neoplasia maligna da parede lateral da orofaringe"
"C103","Neoplasia maligna da parede posterior da orofaringe"
"C104","Neoplasia maligna da fenda branquial"
"C108","Neoplasia maligna da orofaringe com lesão invasiva"
"C109","Neoplasia maligna da orofaringe, não especificada"
"C110","Neoplasia maligna da parede superior da nasofaringe"
"C111","Neoplasia maligna da parede posterior da nasofaringe"
"C112","Neoplasia maligna da parede lateral da nasofaringe"
"C113","Neoplasia maligna da parede anterior da nasofaringe"
"C118","Neoplasia maligna da nasofaringe com lesão invasiva"
"C119","Neoplasia maligna da nasofaringe, não especificada"
"C12","Neoplasia maligna do seio piriforme"
"C130","Neoplasia maligna da região pós-cricóidea"
"C131","Neoplasia maligna da prega ariepiglótica, face hipofaríngea"
"C132","Neoplasia maligna da parede posterior da hipofaringe"
"C138","Neoplasia maligna da hipofaringe com lesão invasiva"
"C139","Neoplasia maligna da hipofaringe, não especificada"
"C140","Neoplasia maligna da faringe, não especificada"
"C142","Neoplasia maligna do anel de waldeyer"
"C148","Neoplasia maligna do lábio, cavidade oral e faringe com lesão invasiva"
"C150","Neoplasia maligna da porção cervical do esôfago (esôfago cervical)"
"C151","Neoplasia maligna da porção torácica do esôfago (esôfago torácico)"
"C152","Neoplasia maligna da porção abdominal do esôfago (esôfago abdominal)"
"C153","Neoplasia maligna do terço superior do esôfago"
"C154","Neoplasia maligna do terço médio do esôfago"
"C155","Neoplasia maligna do terço inferior do esôfago"
"C158","Neoplasia maligna do esôfago com lesão invasiva"
"C159","Neoplasia maligna do esôfago, não especificado"
"C160","Neoplasia maligna da cárdia"
"C161","Neoplasia maligna do fundo do estômago"
"C162","Neoplasia maligna do corpo do estômago"
"C163","Neoplasia maligna do antro pilórico"
"C164","Neoplasia maligna do piloro"
"C165","Neoplasia maligna da pequena curvatura do estômago, não especificada"
"C166","Neoplasia maligna da grande curvatura do estômago, não especificada"
"C168","Neoplasia maligna do estômago com lesão invasiva"
"C169","Neoplasia maligna do estômago, não especificado"
"C170","Neoplasia maligna do duodeno"
"C171","Neoplasia maligna do jejuno"
"C172","Neoplasia maligna do íleo"
"C173","Neoplasia maligna do divertículo de meckel"
"C178","Neoplasia maligna do intestino delgado com lesão invasiva"
"C179","Neoplasia maligna do intestino delgado, não especificado"
"C180","Neoplasia maligna do ceco"
"C181","Neoplasia maligna do apêndice (vermiforme)"
"C182","Neoplasia maligna do cólon ascendente"
"C183","Neoplasia maligna da flexura (ângulo) hepática(o)"
"C184","Neoplasia maligna do cólon transverso"
"C185","Neoplasia maligna da flexura (ângulo) esplênica(o)"
"C186","Neoplasia maligna do cólon descendente"
"C187","Neoplasia maligna do cólon sigmóide"
"C188","Neoplasia maligna do cólon com lesão invasiva"
"C189","Neoplasia maligna do cólon, não especificado"
"C19","Neoplasia maligna da junção retossigmóide"
"C20","Neoplasia maligna do reto"
"C210","Neoplasia maligna do ânus, não especificado"
"C211","Neoplasia maligna do canal anal"
"C212","Neoplasia maligna da zona cloacogênica"
"C218","Neoplasia maligna do reto, ânus e do canal anal com lesão invasiva"
"C220","Carcinoma de células hepáticas"
"C221","Carcinoma de vias biliares intra-hepáticas"
"C222","Hepatoblastoma"
"C223","Angiossarcoma do fígado"
"C224","Outros sarcomas do fígado"
"C227","Outros carcinomas especificados do fígado"
"C229","Neoplasia maligna do fígado, não especificada"
"C23","Neoplasia maligna da vesícula biliar"
"C240","Neoplasia maligna das vias biliares extra-hepáticas"
"C241","Neoplasia maligna da ampola de vater"
"C248","Neoplasia maligna das vias biliares com lesão invasiva"
"C249","Neoplasia maligna da via biliar, não especificada"
"C250","Neoplasia maligna da cabeça do pâncreas"
"C251","Neoplasia maligna do corpo do pâncreas"
"C252","Neoplasia maligna da cauda do pâncreas"
"C253","Neoplasia maligna do canal pancreático"
"C254","Neoplasia maligna do pâncreas endócrino"
"C257","Neoplasia maligna de outras partes do pâncreas"
"C258","Neoplasia maligna do pâncreas com lesão invasiva"
"C259","Neoplasia maligna do pâncreas, não especificado"
"C260","Neoplasia maligna do trato intestinal, parte não especificada"
"C261","Neoplasia maligna do baço"
"C268","Neoplasia maligna do aparelho digestivo com lesão invasiva"
